Best parameters set found on development set:
-0.21290 (+/-0.011) for {'max_features': 11, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42}
-0.21290 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 81, 'n_estimators': 1000, 'random_state': 42}
-0.21290 (+/-0.011) for {'max_features': 10, 'min_samples_leaf': 94, 'n_estimators': 1000, 'random_state': 42}
-0.21290 (+/-0.011) for {'max_features': 10, 'min_samples_leaf': 95, 'n_estimators': 1000, 'random_state': 42}
-0.21290 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 90, 'n_estimators': 1000, 'random_state': 42}
-0.21291 (+/-0.010) for {'max_features': 6, 'min_samples_leaf': 90, 'n_estimators': 1000, 'random_state': 42}
-0.21291 (+/-0.009) for {'max_features': 6, 'min_samples_leaf': 86, 'n_estimators': 1000, 'random_state': 42}
-0.21291 (+/-0.010) for {'max_features': 6, 'min_samples_leaf': 95, 'n_estimators': 500, 'random_state': 42}
-0.21291 (+/-0.010) for {'max_features': 6, 'min_samples_leaf': 78, 'n_estimators': 500, 'random_state': 42}
-0.21291 (+/-0.011) for {'max_features': 11, 'min_samples_leaf': 95, 'n_estimators': 1000, 'random_state': 42}
-0.21291 (+/-0.011) for {'max_features': 10, 'min_samples_leaf': 94, 'n_estimators': 500, 'random_state': 42}
-0.21291 (+/-0.011) for {'max_features': 11, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42}
-0.21291 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 70, 'n_estimators': 500, 'random_state': 42}
-0.21291 (+/-0.011) for {'max_features': 11, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42}
-0.21291 (+/-0.009) for {'max_features': 6, 'min_samples_leaf': 87, 'n_estimators': 1000, 'random_state': 42}
-0.21291 (+/-0.009) for {'max_features': 6, 'min_samples_leaf': 92, 'n_estimators': 1000, 'random_state': 42}
-0.21291 (+/-0.011) for {'max_features': 10, 'min_samples_leaf': 96, 'n_estimators': 500, 'random_state': 42}
-0.21291 (+/-0.011) for {'max_features': 11, 'min_samples_leaf': 94, 'n_estimators': 1000, 'random_state': 42}
-0.21291 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 77, 'n_estimators': 1000, 'random_state': 42}
-0.21291 (+/-0.011) for {'max_features': 10, 'min_samples_leaf': 98, 'n_estimators': 500, 'random_state': 42}
-0.21291 (+/-0.011) for {'max_features': 10, 'min_samples_leaf': 89, 'n_estimators': 1000, 'random_state': 42}
-0.21291 (+/-0.011) for {'max_features': 8, 'min_samples_leaf': 77, 'n_estimators': 1000, 'random_state': 42}
-0.21291 (+/-0.010) for {'max_features': 5, 'min_samples_leaf': 44, 'n_estimators': 1000, 'random_state': 42}
-0.21291 (+/-0.011) for {'max_features': 11, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42}
-0.21291 (+/-0.010) for {'max_features': 6, 'min_samples_leaf': 93, 'n_estimators': 1000, 'random_state': 42}
-0.21291 (+/-0.011) for {'max_features': 10, 'min_samples_leaf': 93, 'n_estimators': 1000, 'random_state': 42}
-0.21291 (+/-0.011) for {'max_features': 10, 'min_samples_leaf': 93, 'n_estimators': 500, 'random_state': 42}
-0.21291 (+/-0.011) for {'max_features': 10, 'min_samples_leaf': 92, 'n_estimators': 1000, 'random_state': 42}
-0.21291 (+/-0.011) for {'max_features': 9, 'min_samples_leaf': 79, 'n_estimators': 500, 'random_state': 42}
-0.21292 (+/-0.009) for {'max_features': 6, 'min_samples_leaf': 99, 'n_estimators': 500, 'random_state': 42}
