Best parameters set found on development set:
0.72955 (+/-0.018) for {'max_depth': 2, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
0.72584 (+/-0.018) for {'max_features': 3, 'min_samples_leaf': 62, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72584 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 50, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72583 (+/-0.024) for {'max_depth': 2, 'max_features': 5, 'n_estimators': 1000, 'random_state': 42} probability 0.708
0.72583 (+/-0.014) for {'max_features': 1, 'min_samples_leaf': 52, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72583 (+/-0.021) for {'max_features': 3, 'min_samples_leaf': 97, 'n_estimators': 500, 'random_state': 42} probability 0.005
0.72582 (+/-0.019) for {'max_features': 2, 'min_samples_leaf': 33, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72582 (+/-0.019) for {'max_features': 3, 'min_samples_leaf': 93, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72581 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 29, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72579 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 51, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72577 (+/-0.017) for {'max_depth': 5, 'max_features': 3, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72576 (+/-0.015) for {'max_features': 1, 'min_samples_split': 61, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72575 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 39, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72574 (+/-0.015) for {'max_features': 1, 'min_samples_split': 96, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72574 (+/-0.020) for {'max_features': 3, 'min_samples_leaf': 57, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72574 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 43, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72573 (+/-0.014) for {'max_features': 4, 'min_samples_leaf': 83, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72572 (+/-0.015) for {'max_features': 1, 'min_samples_leaf': 53, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72572 (+/-0.019) for {'max_features': 2, 'min_samples_leaf': 88, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72572 (+/-0.014) for {'max_features': 1, 'min_samples_leaf': 59, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72569 (+/-0.020) for {'max_features': 3, 'min_samples_leaf': 95, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72568 (+/-0.016) for {'max_features': 1, 'min_samples_leaf': 55, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72565 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 47, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72564 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 77, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72564 (+/-0.018) for {'max_features': 3, 'min_samples_leaf': 50, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72564 (+/-0.015) for {'max_features': 1, 'min_samples_leaf': 36, 'n_estimators': 500, 'random_state': 42} probability 0.000
